Title,Qty,Source,Notes/Flags
Abolition of Man,1,Sticky,
Action Comics,1,Sticky,
Alien,1,Sticky,
Alien,1,Sticky,
Alien,1,Sticky,
Alien Original Screenplay,1,Sticky,
Altered States: Warlords,1,Sticky,"CHECK: ordered every month Apr-Jul - confirm #4 was the finale, else likely miss -- Checked full Aug 2026 solicitation list: no listing this month either. Likely concluded (confirm #4 was the finale) or on hiatus."
Amazing Spider-Man,1,Sticky,
Amazing Spider-Man,1,Sticky,
Amazing Spider-Man,1,Sticky,
Amazing Spider-Man,1,Sticky,
Amazing Spider-Man,1,Sticky,
Archie Meets Batman 66,1,Sticky,
Arkham Horror Terror At End of Time,1,Sticky,
Avengers,1,Sticky,"Check: #1 in Jul only, absent Aug -- Correctly excluded from the 8/29/2026 final order, consistent with the relisted/stale verdict."
Avengers,1,Sticky,"Check: #1 in Jul only, absent Aug -- Correctly excluded from the 8/29/2026 final order, consistent with the relisted/stale verdict."
Avengers,1,Sticky,"Check: #1 in Jul only, absent Aug -- Correctly excluded from the 8/29/2026 final order, consistent with the relisted/stale verdict."
Axe Judgment Day,1,Sticky,
Batman,1,Sticky,
Batman 66 Meets Wonder Woman 77,1,Sticky,
Batman Annual,1,Sticky,
Batman Gotham By Gaslight - A League For Justice,1,Sticky,
Batman Three Jokers,1,Sticky,
Benjamin,1,Sticky,
Black Eyed Kids,1,Sticky,
Bleeding Hearts,1,Sticky,
Blood Love Ghost And A Deadly Spell,1,Sticky,
Blue Book,1,Sticky,
Blue Book 1947,1,Sticky,
Bone Orchard Tenement,1,Sticky,
Bone Parish,1,Sticky,
Bristlemouth: A Cove Horror,1,Sticky,
Brothers Dracul,1,Sticky,
Buckaroo Banzai Hardest O/T Hard,1,Sticky,
Charlies Angels,1,Sticky,
Charlies Angels vs Bionic Woman,1,Sticky,
Children O/T Black Sun,1,Sticky,
Cimmerian Beyond The Black River,1,Sticky,
Cimmerian Frost Giants Daughter,1,Sticky,
Cimmerian Hour of Dragon,1,Sticky,
Cimmerian Iron Shadows In Moon,1,Sticky,
Cimmerian Man-Eaters of Zamboula,1,Sticky,
Cimmerian People of Black Circle,1,Sticky,
Cold Spots,1,Sticky,
Comic Shop News,1,Sticky,
Comics: The Magazine,1,Sticky,
Cross To Bear,1,Sticky,
Dark Chronicles of Cymru,1,Sticky,
Dark Nights Death Metal,1,Sticky,
Dark Nights Metal,1,Sticky,
Darth Maul,1,Sticky,
Darth Vader,1,Sticky,
Department of Truth,1,Sticky,
Detective Comics,1,Sticky,
Die!Namite: Blood Red,1,Sticky,
Doomsday Clock,1,Sticky,
Draculina Blood Simple,1,Sticky,
Dune Edge of A Crysknife Hiding Among Harkonnens,1,Sticky,
Dune Edge of A Crysknife The Rage of ShaiHulud,1,Sticky,
Dune House Atreides,1,Sticky,
Dune House Corrino,1,Sticky,
Dune House Harkonnen,1,Sticky,
Dune The Waters of Kanly,1,Sticky,
End of Life,1,Sticky,
Event Leviathan,1,Sticky,
Eyrie Magazine,1,Sticky,
Frank At Home On The Farm,1,Sticky,
Get Fury,1,Sticky,
Giant-Sized Wacky Races,1,Sticky,
Gideon Falls,1,Sticky,
Girl In The Bay,1,Sticky,
Great Gatsby,1,Sticky,
Gwen Stacy,1,Sticky,
Hack Slash vs Vampirella,1,Sticky,
Harrow County,1,Sticky,
Heavy Metal,1,Sticky,
Hello Darkness,1,Sticky,
High Strangeness 1967,1,Sticky,
History of Marvel Universe,1,Sticky,
Hulk,1,Sticky,
Hyde Street,1,Sticky,
Immortal Hulk,1,Sticky,
Immortal Iron Fist,1,Sticky,
Incredible Hulk,1,Sticky,
Infinity Countdown,1,Sticky,
Infinity Wars,1,Sticky,
Into Unbeing Part One,1,Sticky,
Into Unbeing Part Two,1,Sticky,
Iron Fist,1,Sticky,
James Bond 007 (2024),1,Sticky,
